config,M_bayes,sentiment_w,kw_bonus_per_hit,kw_bonus_cap,n_items
M5_S0.2_B0.03_Cap0.15_H3,5,0.2,0.03,0.15,509
M10_S0.2_B0.03_Cap0.15_H3,10,0.2,0.03,0.15,509
M25_S0.2_B0.03_Cap0.15_H3,25,0.2,0.03,0.15,509
M50_S0.2_B0.03_Cap0.15_H3,50,0.2,0.03,0.15,509
M100_S0.2_B0.03_Cap0.15_H3,100,0.2,0.03,0.15,509
