config,baseline,overlap_at_topN,spearman
M5_S0.2_B0.03_Cap0.15_H3,M5_S0.2_B0.03_Cap0.15_H3,1.0,1.0
M10_S0.2_B0.03_Cap0.15_H3,M5_S0.2_B0.03_Cap0.15_H3,0.94,0.999
M25_S0.2_B0.03_Cap0.15_H3,M5_S0.2_B0.03_Cap0.15_H3,0.91,0.996
M50_S0.2_B0.03_Cap0.15_H3,M5_S0.2_B0.03_Cap0.15_H3,0.85,0.988
M100_S0.2_B0.03_Cap0.15_H3,M5_S0.2_B0.03_Cap0.15_H3,0.77,0.975
