word,frequency
watch,32
orders,32
bed,32
starters,32
turned,32
pork,32
cool,31
students,31
uncomfortable,31
garden,31
building,31
basic,31
managed,31
massive,31
pick,31
egg,31
choices,31
honest,31
king,31
slow,31
ideal,31
proper,31
particularly,31
welcomed,31
touch,31
sausage,31
glass,30
oak,30
life,30
selly,30
might,30
toilet,30
fact,30
chat,30
bottomless,30
spend,30
rare,30
thoroughly,30
access,30
longer,30
using,30
giving,30
school,30
ready,30
buffet,30
behind,30
ambiance,30
chance,30
mixed,30
board,30
memorable,29
horrible,29
met,29
shops,29
easily,29
mix,29
support,29
cost,29
believe,29
girl,29
based,29
university,29
credit,29
nicely,29
plates,29
totally,29
quarter,29
feels,29
seen,29
refreshing,29
iced,29
filling,29
areas,28
tastes,28
walking,28
glad,28
hidden,28
upstairs,28
sushi,28
vibes,28
tender,28
event,28
lack,28
explained,28
simply,28
hit,28
flavors,28
jewellery,28
halal,28
grill,28
expectations,28
club,28
affordable,28
less,28
cheap,28
cash,28
company,28
system,28
impressive,28
thai,28
gluten,28
asking,27
till,27
call,27
five,27
establishment,27
occasion,27
recommendations,27
student,27
mins,27
surprised,27
exactly,27
flavorful,27
chairs,27
yummy,27
starbucks,27
toppings,27
gone,27
butter,27
somewhere,27
energy,27
ate,26
together,26
several,26
talking,26
trip,26
english,26
hands,26
apart,26
spent,26
comes,26
fan,26
interesting,26
italian,26
cut,26
kebab,26
gets,26
soup,26
noodles,26
windows,26
potato,26
relaxing,26
cocktail,26
sides,26
sign,26
literally,26
edgbaston,26
freshly,26
subway,26
bring,25
barely,25
loud,25
box,25
break,25
presentation,25
sauces,25
upon,25
leaving,25
immediately,25
sorry,25
professionalism,25
cuisine,25
along,25
per,25
superb,25
sometimes,25
sleep,25
feeling,25
patient,25
canal,25
changed,25
via,25
checked,25
cleaned,25
lively,25
cute,25
oat,25
knew,24
flat,24
disappoint,24
note,24
effort,24
ladies,24
solid,24
courses,24
expecting,24
chai,24
certainly,24
single,24
catch,24
events,24
bright,24
problem,24
roast,24
seasoned,24
offering,24
juicy,24
weekend,24
beans,23
case,23
hair,23
garlic,23
rushed,23
multiple,23
regularly,23
seriously,23
matter,23
remember,23
bill,23
coffees,23
tidy,23
entrance,23
japanese,23
baguette,23
bag,23
spaces,23
stood,23
rush,23
seat,23
treated,23
opened,23
site,23
pastries,23
enter,23
facilities,23
downstairs,23
starter,23
playing,23
chill,23
genuine,23
road,23
appreciate,23
theatre,23
pre,23
disabled,23
ages,23
seeing,22
twice,22
platter,22
weeks,22
nights,22
difficult,22
tasting,22
included,22
move,22
properly,22
provide,22
market,22
number,22
popular,22
staying,22
accessible,22
placed,22
minute,22
similar,22
elsewhere,22
balanced,22
salmon,22
prawns,22
bathroom,22
cookies,21
express,21
pleasure,21
low,21
pop,21
mark,21
google,21
non,21
woman,21
game,21
grand,21
veggie,21
thoughtful,21
ensure,21
closing,21
middle,21
attended,21
comfy,21
strawberry,21
grab,21
step,21
comment,21
filled,21
fair,21
yesterday,21
tapas,21
mind,21
bland,21
future,21
true,21
noticed,21
child,21
difference,21
decorated,21
particular,21
creamy,21
