word,frequency
forward,39
stayed,39
world,39
party,39
traditional,39
almost,39
either,39
including,39
buy,39
regular,38
ambience,38
round,38
positive,38
ago,38
run,38
late,38
ingredients,38
doing,38
part,38
burgers,38
heart,38
man,38
delivery,38
serve,37
wish,37
bought,37
spacious,37
slightly,37
charge,37
plate,37
outdoor,37
packed,37
offers,37
dirty,37
perfection,37
machine,37
choose,36
stopped,36
mains,36
seats,36
products,36
reception,36
security,36
wide,36
snacks,36
matcha,36
waiter,36
wouldn,36
under,36
eaten,36
absolute,36
knowledgeable,36
hand,35
shame,35
closed,35
stunning,35
straight,35
friday,35
awful,35
smooth,35
detail,35
wow,35
add,35
owner,35
those,35
setting,35
saw,35
games,35
awesome,35
months,35
hope,35
modern,35
cannot,35
show,35
there's,34
cosy,34
limited,34
reason,34
ended,34
bacon,34
lounge,34
sizes,34
disgusting,34
usual,34
fabulous,34
pasta,34
that's,34
black,34
booking,34
entire,34
convenient,34
started,34
notch,33
process,33
fairly,33
queue,33
chose,33
refund,33
finally,33
understand,33
past,33
toast,33
simple,33
guests,32
mention,32
play,32
bank,32
liked,32
empty,32
personal,32
seems,32
issues,32
three,32
seem,32
watch,32
orders,32
bed,32
starters,32
turned,32
pork,32
cool,31
students,31
uncomfortable,31
garden,31
building,31
basic,31
managed,31
massive,31
pick,31
egg,31
choices,31
honest,31
king,31
slow,31
ideal,31
proper,31
particularly,31
welcomed,31
touch,31
sausage,31
glass,30
oak,30
life,30
selly,30
might,30
toilet,30
fact,30
chat,30
bottomless,30
spend,30
rare,30
thoroughly,30
access,30
longer,30
using,30
giving,30
school,30
ready,30
buffet,30
behind,30
ambiance,30
chance,30
mixed,30
board,30
memorable,29
horrible,29
met,29
shops,29
easily,29
mix,29
support,29
cost,29
believe,29
girl,29
based,29
won't,29
university,29
credit,29
nicely,29
plates,29
totally,29
quarter,29
feels,29
seen,29
refreshing,29
iced,29
filling,29
areas,28
tastes,28
walking,28
glad,28
hidden,28
upstairs,28
sushi,28
vibes,28
tender,28
event,28
lack,28
explained,28
simply,28
hit,28
flavors,28
jewellery,28
halal,28
grill,28
expectations,28
club,28
affordable,28
less,28
