config,baseline,overlap_at_topN,spearman
M25_S0.0_B0.03_Cap0.15_H3,M25_S0.0_B0.03_Cap0.15_H3,1.0,1.0
M25_S0.1_B0.03_Cap0.15_H3,M25_S0.0_B0.03_Cap0.15_H3,0.92,0.994
M25_S0.2_B0.03_Cap0.15_H3,M25_S0.0_B0.03_Cap0.15_H3,0.9,0.987
M25_S0.3_B0.03_Cap0.15_H3,M25_S0.0_B0.03_Cap0.15_H3,0.87,0.976
M25_S0.5_B0.03_Cap0.15_H3,M25_S0.0_B0.03_Cap0.15_H3,0.84,0.953
