config,M_bayes,sentiment_w,kw_bonus_per_hit,kw_bonus_cap,n_items
M25_S0.0_B0.03_Cap0.15_H3,25,0.0,0.03,0.15,509
M25_S0.1_B0.03_Cap0.15_H3,25,0.1,0.03,0.15,509
M25_S0.2_B0.03_Cap0.15_H3,25,0.2,0.03,0.15,509
M25_S0.3_B0.03_Cap0.15_H3,25,0.3,0.03,0.15,509
M25_S0.5_B0.03_Cap0.15_H3,25,0.5,0.03,0.15,509
